datetime,code,side,price,volume,fee
2024-03-06T11:30:00.000000,SHSE.600571,sell,13.903045,12800,17.7958976
2024-03-06T11:30:00.000000,SHSE.603728,sell,57.941015,3300,19.120534950000003
2024-03-07T09:30:00.000000,SZSE.000670,buy,6.183089999999999,60900,37.65501809999999
2024-03-08T11:30:00.000000,SZSE.000670,sell,6.146925,60900,37.434773250000006
2024-03-11T09:30:00.000000,SZSE.002217,buy,2.1710849999999997,173100,37.58148135
2024-03-12T11:30:00.000000,SZSE.002217,sell,2.17891,173100,37.7169321
2024-03-13T09:30:00.000000,SZSE.000008,buy,2.7613799999999995,68100,18.8049978
2024-03-13T09:30:00.000000,SZSE.002009,buy,14.917454999999999,12600,18.7959933
2024-03-14T09:30:00.000000,SZSE.002281,buy,37.89894,4900,18.570480600000003
2024-03-14T09:30:00.000000,SZSE.002414,buy,7.8039,23900,18.651321
2024-03-14T11:30:00.000000,SZSE.000008,sell,2.83858,68100,19.3307298
2024-03-14T11:30:00.000000,SZSE.002009,sell,15.522235,12600,19.5580161
2024-03-15T09:30:00.000000,SZSE.000008,buy,2.8214099999999998,135700,38.28653369999999
2024-03-15T11:30:00.000000,SZSE.002414,sell,7.486255000000001,23900,17.892149450000005
2024-03-15T11:30:00.000000,SZSE.002281,sell,38.3808,4900,18.806592000000002
2024-03-18T09:30:00.000000,SZSE.002902,buy,33.316649999999996,11200,37.31464799999999
2024-03-18T11:30:00.000000,SZSE.000008,sell,2.7386300000000006,135700,37.16320910000001
2024-03-19T09:30:00.000000,SHSE.603728,buy,67.543755,5600,37.824502800000005
2024-03-19T11:30:00.000000,SZSE.002902,sell,33.483250000000005,11200,37.50124000000001
2024-03-20T09:30:00.000000,SZSE.002298,buy,6.9234599999999995,53700,37.1789802
2024-03-20T11:30:00.000000,SHSE.603728,sell,63.618175,5600,35.626178
2024-03-21T11:30:00.000000,SZSE.002298,sell,7.166415000000001,53700,38.483648550000005
2024-03-22T09:30:00.000000,SZSE.000737,buy,7.70385,16000,12.326160000000002
2024-03-22T09:30:00.000000,SZSE.002055,buy,8.154075,15200,12.394194
2024-03-22T09:30:00.000000,SZSE.000801,buy,13.8069,8900,12.288141000000001
2024-03-25T09:30:00.000000,SZSE.000737,buy,7.28364,51200,37.292236800000005
2024-03-25T11:30:00.000000,SZSE.000737,sell,8.005995,16000,12.809592000000002
2024-03-25T11:30:00.000000,SZSE.002055,sell,9.235380000000001,15200,14.037777600000002
2024-03-25T11:30:00.000000,SZSE.000801,sell,13.1934,8900,11.742126
2024-03-26T11:30:00.000000,SZSE.000737,sell,7.426285,51200,38.0225792
2024-03-27T09:30:00.000000,SHSE.600577,buy,5.16258,36900,19.049920200000003
2024-03-27T09:30:00.000000,SHSE.601137,buy,18.119055,10500,19.02500775
2024-03-28T11:30:00.000000,SHSE.601137,sell,18.600695,10500,19.530729750000003
2024-03-28T15:00:00.000000,SHSE.600577,sell,5.13743,36900,18.957116700000004
2024-04-01T09:30:00.000000,SHSE.600198,buy,6.453225,59300,38.267624250000004
2024-04-02T11:30:00.000000,SHSE.600198,sell,6.37681,59300,37.8144833
2024-04-09T09:30:00.000000,SZSE.000737,buy,11.315655,33600,38.0206008
2024-04-10T11:30:00.000000,SZSE.000737,sell,11.214390000000002,33600,37.68035040000001
2024-04-11T09:30:00.000000,SHSE.601212,buy,3.4016999999999995,111500,37.928954999999995
2024-04-12T11:30:00.000000,SHSE.601212,sell,3.528235,111500,39.33982025
2024-04-15T09:30:00.000000,SZSE.002805,buy,16.538265,23200,38.3687748
2024-04-16T09:30:00.000000,SHSE.601179,buy,6.8134049999999995,27500,18.736863749999998
2024-04-16T09:30:00.000000,SZSE.000888,buy,14.207099999999999,13200,18.753372
2024-04-17T09:30:00.000000,SZSE.002805,sell,13.89305,23200,32.231876
2024-04-17T09:30:00.000000,SHSE.601179,buy,7.273634999999999,28000,20.366177999999998
2024-04-17T11:30:00.000000,SHSE.601179,sell,7.426285,27500,20.422283750000002
2024-04-17T11:30:00.000000,SZSE.000888,sell,13.653170000000001,13200,18.0221844
2024-04-18T11:30:00.000000,SHSE.601179,sell,7.916040000000001,28000,22.164912000000005
2024-04-22T09:30:00.000000,SZSE.002073,buy,9.254624999999999,40100,37.11104625
2024-04-23T09:30:00.000000,SZSE.002085,buy,13.936964999999999,26500,36.932957249999994
2024-04-23T11:30:00.000000,SZSE.002073,sell,8.805595,40100,35.310435950000006
2024-04-24T09:30:00.000000,SZSE.000099,buy,20.009999999999998,18100,36.21809999999999
2024-04-25T11:30:00.000000,SZSE.000099,sell,21.699145,18100,39.27545245
2024-04-26T11:30:00.000000,SZSE.002085,sell,17.381305,26500,46.06045825
2024-04-29T09:30:00.000000,SZSE.002590,buy,16.598295,24800,41.163771600000004
2024-04-30T11:30:00.000000,SZSE.002590,sell,17.49125,24800,43.3783
2024-05-07T09:30:00.000000,SHSE.600094,buy,4.102049999999999,102800,42.169073999999995
2024-05-08T09:30:00.000000,SZSE.002146,buy,1.6408199999999997,258500,42.41519699999999
2024-05-08T11:30:00.000000,SHSE.600094,sell,4.25787,102800,43.7709036
2024-05-09T11:30:00.000000,SZSE.002146,sell,1.6291849999999999,258500,42.11443225
2024-05-10T09:30:00.000000,SHSE.600789,buy,8.804400000000001,48400,42.61329600000001
2024-05-13T09:30:00.000000,SHSE.600682,buy,7.2536249999999995,15300,11.09804625
2024-05-13T09:30:00.000000,SZSE.000422,buy,12.416205,8900,11.050422450000001
2024-05-13T09:30:00.000000,SHSE.600789,buy,9.42471,11700,11.0269107
2024-05-13T09:30:00.000000,SHSE.601155,buy,10.6053,10400,11.029512
2024-05-14T09:30:00.000000,SHSE.600682,buy,7.86393,8400,6.6057012
2024-05-14T09:30:00.000000,SHSE.600744,buy,4.04202,16400,6.6289128
2024-05-14T09:30:00.000000,SZSE.002455,buy,11.8059,5600,6.611304
2024-05-14T11:30:00.000000,SHSE.601155,sell,10.91454,10400,11.3511216
2024-05-14T11:30:00.000000,SHSE.600682,sell,7.736130000000001,15300,11.836278900000002
2024-05-14T11:30:00.000000,SZSE.000422,sell,11.884055000000002,8900,10.576808950000002
2024-05-14T11:30:00.000000,SHSE.600789,sell,9.845075,48400,47.650163000000006
2024-05-14T11:30:00.000000,SHSE.600789,sell,9.845075,11700,11.51873775
2024-05-15T09:30:00.000000,SZSE.002668,buy,12.436214999999999,36100,44.89473614999999
2024-05-15T11:30:00.000000,SZSE.002455,sell,11.384305000000001,5600,6.375210800000001
2024-05-15T11:30:00.000000,SHSE.600682,sell,7.33633,8400,6.1625172
2024-05-15T11:30:00.000000,SHSE.600744,sell,3.728135,16400,6.1141414
2024-05-16T09:30:00.000000,SHSE.600869,buy,4.6023,48800,22.459224
