datetime,code,name,volume,avg_cost,close,market_value,pnl,profit
2024-01-02,SHSE.600610,中毅达,44500,8.974485,9.51,423195.0,23830.41750000004,0.05967083347958139
2024-01-03,SZSE.002306,中科云网,78700,5.2026,5.7,448590.0,39145.37999999995,0.09560604313227987
2024-01-04,SZSE.002306,中科云网,26700,5.265961835863378,5.65,150855.0,10253.818982447789,0.07292839866805766
2024-01-04,SHSE.600610,中毅达,14900,9.76488,9.35,139315.0,-6181.7119999999995,-0.04248695324468913
2024-01-04,SZSE.002323,雅博股份,61900,2.351175,2.39,147941.0,2403.267499999987,0.01651302008570174
2024-01-10,SZSE.002786,银宝山新,24700,17.008499999999998,17.28,426816.0,6706.050000000047,0.015962606931828317
2024-01-11,SZSE.002786,银宝山新,25200,16.907447494989977,16.52,416304.0,-9763.676873747434,-0.0229157887436756
2024-01-15,SZSE.002610,爱康科技,160200,2.531265,2.49,398898.00000000006,-6610.652999999933,-0.016302125617033217
2024-01-18,SZSE.002584,西陇科学,36800,10.775384999999998,10.55,388240.0,-8294.167999999947,-0.020916654022106736
2024-01-26,SHSE.603083,剑桥科技,9100,43.021499999999996,43.52,396032.0,4536.350000000035,0.011587229640993547
2024-01-29,SHSE.600200,江苏吴中,21100,9.374685,9.43,198973.0,1167.1465000000026,0.005900464922288068
2024-01-29,SHSE.600621,华鑫股份,11600,17.018505,15.76,182816.0,-14598.658000000025,-0.07394920999229967
2024-01-30,SHSE.600705,中航产融,112500,3.331665,3.36,378000.0,3187.6875,0.008504756630693663
2024-01-31,SZSE.002423,中粮资本,46600,8.004,9.19,428254.0,55267.600000000035,0.14817591204397812
2024-02-01,SZSE.002423,中粮资本,46600,8.004,8.27,385382.0,12395.600000000035,0.03323338330834592
2024-02-02,SHSE.600639,浦东金桥,28700,13.30665,15.14,434518.0,52617.14500000002,0.1377769761735674
2024-02-05,SHSE.600639,浦东金桥,28700,13.30665,13.63,391181.0,9280.145000000019,0.02429988013512046
2024-02-06,SHSE.600639,浦东金桥,28700,13.30665,12.27,352149.0,-29751.85499999998,-0.07790465669420923
2024-02-07,SHSE.600446,金证股份,31200,11.435714999999998,12.61,393432.0,36637.69200000004,0.10268575248683631
2024-02-19,SZSE.002960,青鸟消防,6600,13.506749999999998,13.63,89958.0,813.4500000000116,0.009125067096081721
2024-02-19,SHSE.603392,万泰生物,1400,61.030499999999996,60.73,85022.0,-420.6999999999971,-0.004923767624384495
2024-02-19,SHSE.600378,昊华科技,2700,32.71635,31.69,85563.0,-2771.1449999999895,-0.031371164570619774
